text,label,notes
"WHAT A GOAL!","reaction","emotional response"
"I can't believe they bottled it again.","reaction","frustration"
"NO WAY HE MISSED THAT!","reaction","shock"
"That red card completely changed the game.","reaction","immediate response"
"Absolutely unbelievable finish.","reaction","excitement"
"What a comeback!","reaction","enthusiasm"

"Haaland is overrated.","hot_take","opinion without evidence"
"Manchester United will never win another Premier League title.","hot_take","bold opinion"
"Messi is washed.","hot_take","unsupported claim"
"Mbappe is already better than Ronaldo ever was.","hot_take","controversial opinion"
"Arsenal fans are the most delusional fans in football.","hot_take","generalization"
"Pep Guardiola would fail without money.","hot_take","strong claim"

"That defending was embarrassing.","reaction","frustration"
"What a strike from outside the box!","reaction","excitement"
"NO WAY THEY CAME BACK FROM 3-0 DOWN!","reaction","shock"
"This team always finds a way to disappoint.","reaction","disappointment"
"I can't believe VAR gave that.","reaction","surprise"
"What a save!","reaction","admiration"
"They completely bottled it again.","reaction","frustration"
"Absolutely ridiculous decision.","reaction","anger"
"Wow, that atmosphere was incredible.","reaction","appreciation"
"This game is insane.","reaction","excitement"

"Chelsea are finished as a club.","hot_take","unsupported claim"
"Liverpool's success is just luck.","hot_take","strong opinion"
"Ronaldo would score 50 goals in any era.","hot_take","controversial opinion"
"VAR has ruined football forever.","hot_take","bold claim"
"Tottenham will never win anything.","hot_take","generalization"
"Mbappe is already the greatest player ever.","hot_take","exaggeration"
"Serie A is the weakest top league.","hot_take","unsupported opinion"
"Every referee is biased against Arsenal.","hot_take","generalization"
"Manchester City only win because of money.","hot_take","strong claim"
"England fans are the most annoying fans.","hot_take","generalization"

"What a comeback from them.","reaction","excitement"
"I cannot believe he missed that chance.","reaction","shock"
"That referee decision was terrible.","reaction","anger"
"This match has been unbelievable.","reaction","excitement"
"They deserved that loss.","reaction","frustration"
"WHAT A FINISH!","reaction","enthusiasm"
"This game has everything.","reaction","excitement"
"That tackle was awful.","reaction","anger"
"I've never seen anything like that before.","reaction","surprise"
"They really threw away the lead.","reaction","frustration"

"Barcelona are finished.","hot_take","unsupported claim"
"Messi carried his entire career.","hot_take","strong opinion"
"Ronaldo is still the best player in the world.","hot_take","controversial opinion"
"Bayern would dominate every league.","hot_take","exaggeration"
"La Liga is boring.","hot_take","unsupported opinion"
"No defender today could survive the 90s.","hot_take","bold claim"
"Football has become too soft.","hot_take","generalization"
"Every big club buys referees.","hot_take","extreme opinion"
"Southgate is the worst manager ever.","hot_take","strong opinion"
"PSG will never win the Champions League.","hot_take","prediction without evidence"

"Arsenal struggled because they failed to progress the ball through midfield.","analysis","tactical reasoning"
"Inter defended with a compact low block and limited chances.","analysis","tactical observation"
"Barcelona created only 0.8 xG despite having most of the possession.","analysis","uses statistics"
"City's pressing forced several turnovers in dangerous areas.","analysis","structured reasoning"
"Liverpool's high line exposed them to counterattacks.","analysis","tactical reasoning"
"United generated more chances after switching formations.","analysis","observation"
"Possession alone does not guarantee better chances.","analysis","strategic point"
"Fatigue became noticeable after the 70th minute.","analysis","game analysis"
"Arsenal's midfield lacked creativity throughout the match.","analysis","observation"
"Set pieces were the difference between the two teams.","analysis","reasoning"

"Real Madrid controlled the tempo better in the second half.","analysis","game management"
"The fullbacks provided width and stretched the defense.","analysis","tactical observation"
"Chelsea's pressing intensity dropped significantly after halftime.","analysis","observation"
"The team relied too heavily on individual brilliance.","analysis","reasoning"
"The substitution changed the momentum of the match.","analysis","game analysis"
"Defensive transitions were a major weakness.","analysis","tactical reasoning"
"The goalkeeper's distribution helped break the press.","analysis","observation"
"United struggled to create chances against a low block.","analysis","tactical observation"
"The midfield battle determined the outcome.","analysis","reasoning"
"Arsenal were more effective after switching to a back three.","analysis","formation analysis"

"Why was the penalty overturned?","question","rules clarification"
"What formation are they using?","question","tactics"
"Why didn't the referee play advantage?","question","rules"
"Who got the assist on that goal?","question","match details"
"What happened to the injured player?","question","injury"
"Why was he substituted so early?","question","coaching decision"
"Which team has more possession?","question","statistics"
"How many goals has he scored this season?","question","statistics"
"What is xG?","question","terminology"
"Why are fans booing him?","question","context"

"Who is their backup goalkeeper?","question","team information"
"What channel is the match on?","question","broadcast"
"When is the second leg?","question","schedule"
"Why is the manager under pressure?","question","context"
"What happened during halftime?","question","match event"
"Why are they playing with five defenders?","question","tactics"
"Who won the last meeting between these teams?","question","history"
"What league does he play in now?","question","player information"
"How many trophies has he won?","question","career statistics"
"Why was the goal disallowed?","question","rules clarification"

"Can't believe we threw away a two-goal lead again, absolutely embarrassing.","reaction","frustration after a collapse"
"That last-minute winner had me jumping around the room.","reaction","celebrating dramatic goal"
"Ref was having a nightmare out there.","reaction","complaining about officiating"
"What a save, genuinely world class.","reaction","praising goalkeeper"
"I still can't process how he missed that sitter.","reaction","shock at missed chance"
"This club is going to be the death of me.","reaction","typical fan emotion"
"Fair play to them, they deserved the three points.","reaction","respecting opponent"
"The atmosphere looked incredible tonight.","reaction","commenting on crowd"
"I've seen enough, get him off corners immediately.","reaction","criticizing set pieces"
"That red card changed everything.","reaction","impact of dismissal"
"We somehow escaped with a point there.","reaction","relief after draw"
"Absolute limbs in the away end after that goal.","reaction","fan celebration"
"I knew he'd score against us, it was inevitable.","reaction","predictable former player goal"
"The defending on that second goal was shocking.","reaction","angry at defense"
"Can't stop watching the replay of that volley.","reaction","admiring great goal"
"This result ruined my weekend.","reaction","disappointed supporter"
"Credit where it's due, the manager got it spot on.","reaction","manager praise"
"How is VAR still taking that long?","reaction","annoyance with review"
"That was one of the most entertaining matches this season.","reaction","enjoyment of game"
"Our midfield got completely overrun.","reaction","reaction to tactics"
"The keeper bailed us out so many times.","reaction","goalkeeper appreciation"
"I've never celebrated a 0-0 this much.","reaction","happy with draw"
"Feels like a loss even though we drew.","reaction","mixed emotions"
"The away support was unbelievable today.","reaction","praising fans"
"He picked the perfect time to score his first goal.","reaction","timely breakthrough"
"Honestly thought we'd bottle it at the end.","reaction","nervous finish"
"That tackle was reckless and deserved the booking.","reaction","disciplinary opinion"
"I can't believe we're actually top of the table.","reaction","surprised success"
"The quality in the final third was awful.","reaction","criticism of attack"
"What a turnaround in the second half.","reaction","comeback excitement"
"This team never makes things easy.","reaction","stressful support"
"Seeing the academy kid score made me smile.","reaction","happy for youngster"
"The ref lost control of the game.","reaction","officiating criticism"
"Massive result considering all the injuries.","reaction","contextual praise"
"I was convinced we were heading for penalties.","reaction","expectation during cup tie"
"That pass deserved an assist.","reaction","admiring creativity"
"The boos at full time said it all.","reaction","crowd dissatisfaction"
"We looked exhausted after the hour mark.","reaction","fitness concerns"
"I'll take the ugly win every day.","reaction","happy despite performance"
"Football is ridiculous and I love it.","reaction","general excitement"
"People will hate it, but I think he's the best striker in the league.","hot_take","strong player opinion"
"Unpopular opinion, but possession stats are overrated.","hot_take","controversial analytics view"
"That manager is getting way too much criticism.","hot_take","defending coach"
"I'd rather have a reliable defender than a flashy winger.","hot_take","preference statement"
"This generation of keepers is better than ever.","hot_take","era comparison"
"The league title race is already over.","hot_take","bold prediction"
"VAR has improved the game overall.","hot_take","controversial technology stance"
"He's more important than the captain, honestly.","hot_take","importance of player"
"I think counterattacking football is more entertaining.","hot_take","style preference"
"People romanticize old football too much.","hot_take","historical opinion"
"He should never take penalties again.","hot_take","harsh player assessment"
"The hype around that youngster is excessive.","hot_take","skeptical about prospect"
"I'd take a cup win over a top-four finish.","hot_take","prioritizing trophies"
